Employee Number (Person),Employment Status (Person),Post Type (Post Profile),Appointment Status (Appointment),Pay Group (Person),Full Name (Person),Grade,Post Title (Post Profile),Directorate,Department,Family Friendly Absence Days,Absence Days,Sick Days,Certified Sick Days,Certified Sick Paid Days,Certified Sick Unpaid Days,Self Certified Sick Days,Self Certified Sick Paid Days,Annual Accrued Entitlement,Annual Floating Entitlement,Annual Carried Forward,Annual Total Entitlement,Annual Taken,Annual Balance,Annual Booked,Annual Balance Less Booked
100862,Live,PW,CO,SALARIES,David Francis,7,EQUALITY OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,6.02,No Sick Leave Record,No Sick Leave Record,100054,100580,0,101042,0,30,5,34,23.5,13,9,7.5
100685,Live,PW,CO,SALARIES,Karen Oneill,No Grade,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,0,No Sick Leave Record,8.5,No Sick Leave Record,100590,100721,No Sick Leave Record,100184,No Annual Leave Record,28,0,30,26,27,0,14
100282,Live,PW,CO,SALARIES,Joseph Nelson,No Grade,LIFEGUARD,ARCHITECTS,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101137,100478,No Sick Leave Record,100140,0,No Annual Leave Record,1,30,16,No Annual Leave Record,0,6.5
100184,Live,PW,CO,SALARIES,Molly Oconnor,3,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,No Sick Leave Record,8,1,101353,100818,No Sick Leave Record,101098,0,24,5,No Annual Leave Record,18,7.5,9,1.5
100304,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Troy Weber,No Grade,CLERICAL OFFICER,PLANNING & ECONOMIC DEVELOPMENT,ENTERPRISE,0,No Sick Leave Record,13,No Sick Leave Record,100199,101077,No Sick Leave Record,100870,0,30,No Annual Leave Record,9,9,0.5,No Annual Leave Record,1
100093,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Ryan Ball,No Grade,ADMINISTRATIVE OFFICER,FINANCE & WATER SERVICES,FINANCE,No Sick Leave Record,No Sick Leave Record,0,7,100260,100817,0,101153,0,No Annual Leave Record,2.5,No Annual Leave Record,19,27.5,3,7
100626,Live,PW,CO,SALARIES,Denise Church,5,LIBRARY ASSISTANT,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,0.01,No Sick Leave Record,No Sick Leave Record,100954,100576,No Sick Leave Record,100413,0,32,0,33,10.5,12,21,3
101293,,PW,CO,FORTNIGHTLY WAGES - DLR,Erik Camacho,7,ASSISTANT FOREMAN OF WORKS,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101303,100812,No Sick Leave Record,100195,0,30,0,35,20,13,No Annual Leave Record,1.5
100415,Live,PW,CO,SALARIES,Gabrielle Moreno,No Grade,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,No Sick Leave Record,0,No Sick Leave Record,101074,100176,No Sick Leave Record,100329,0,24,4,24,16,10.5,No Annual Leave Record,16
100592,Live,PW,CO,SALARIES,Dana Gill,7,LIBRARY ASSISTANT,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100010,101206,No Sick Leave Record,100610,0,24,No Annual Leave Record,34,9,13.5,0,9
100627,Live,PW,CO,SALARIES,Christine Trevino,No Grade,SENIOR EXECUTIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,0,No Sick Leave Record,6,100314,100363,No Sick Leave Record,100740,0,24,3,No Annual Leave Record,16,8,No Annual Leave Record,3
100141,Live,PW,CO,SALARIES,Justin Lowe,No Grade,ASSISTANT STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,PARKS,0,3.02,1,No Sick Leave Record,101100,100560,0,100736,0,30,0,29,12,0,No Annual Leave Record,No Annual Leave Record
100941,Live,PW,CO,SALARIES,Chloe Harrison,6,SCHOOL WARDEN,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100615,100888,No Sick Leave Record,100100,0,24,3,24,26,21,3,13
100262,Live,PW,CO,SALARIES,Deborah Frye,5,ASSISTANT STAFF OFFICER,HOUSING,PARKS,0,No Sick Leave Record,0,0,100116,100366,No Sick Leave Record,100486,0,27,0,30,20,No Annual Leave Record,3,10
100170,Live,PW,CO,SALARIES,Raymond Long,9,EXECUTIVE PLANNER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,No Sick Leave Record,100209,100218,No Sick Leave Record,101224,0,24,1.5,27,16.5,16,4,3
100285,Live,PW,CO,SALARIES,Jeffrey Bell,5,CLERICAL OFFICER,FINANCE & WATER SERVICES,CULTURE,0,5.01,No Sick Leave Record,No Sick Leave Record,100784,100355,No Sick Leave Record,100127,0,No Annual Leave Record,4.5,23,13,21,3,7.5
100444,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Robert Dawson,No Grade,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,ENTERPRISE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,6.5,100529,100796,No Sick Leave Record,100688,0,24,2,No Annual Leave Record,0,7,3,12
101010,Live,PW,CO,SALARIES,Shelly Jones,4,PORTER HALL/ MSG,FINANCE & WATER SERVICES,LAW,0,0,2,0,100722,100618,3,100022,0,11.5,3,40,15.5,16,3,12
100319,Live,PW,CO,SALARIES,Alexander Lopez,8,LIBRARY ASSISTANT,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,0,100711,100584,No Sick Leave Record,100463,0,27,0,30,19,16.5,0,1.5
100589,Live,PW,CO,SALARIES,Marc Walton,8,SENIOR STAFF OFFICER,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,0,100262,100005,0,101063,No Annual Leave Record,22,No Annual Leave Record,29,12.5,30,No Annual Leave Record,5
101065,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Robin Moon,No Grade,SCHOOL WARDEN,ARCHITECTS,PARKS,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,101208,100758,No Sick Leave Record,101088,0,30,5,32.5,15.5,No Annual Leave Record,0,7
100720,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jacob Bernard,4,LIFEGUARD,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101102,100531,1,101218,0,24,5,19,18,11.5,0,10
100961,Live,PW,CO,,Emily Thomas,7,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,12,No Sick Leave Record,100168,100814,0,101318,0,No Annual Leave Record,0,33,18.5,14,No Annual Leave Record,9.5
100845,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Ruben Gilmore,7,STAFF OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,4,No Sick Leave Record,100846,101203,No Sick Leave Record,101051,0,26,0,32,10,2,2,10
100813,Live,PW,CO,SALARIES,Danielle Andrade,5,ASSISTANT STAFF OFFICER,,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,No Sick Leave Record,100287,100337,No Sick Leave Record,100350,No Annual Leave Record,29,5,12.5,21.5,15,3,16.5
101256,Live,PW,CO,FORTNIGHTLY WAGES - DLR,John Montgomery,4,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,HARBOUR,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101248,101086,No Sick Leave Record,100534,0,30,3,No Annual Leave Record,14,13.5,3,18
100420,Live,PW,CO,SALARIES,Steven Delacruz,No Grade,CLERICAL OFFICER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0.18,0,0,100421,101080,0,100572,0,30,2,28,No Annual Leave Record,11,3,8
100861,Live,PW,CO,SALARIES,Dr. Patricia Gomez DVM,7,CLERICAL OFFICER,CORPORATE AFFAIRS,PARKS,0,No Sick Leave Record,6.5,No Sick Leave Record,100792,100610,0,100001,0,24,1,25,5.5,16.5,6,11
100517,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jennifer Wilson,5,GANGER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,0,No Sick Leave Record,No Sick Leave Record,100097,101004,1,100269,0,30,5,31,21,9,11,20
100328,Live,PW,CO,SALARIES,Ralph Dougherty,6,CLERICAL OFFICER,ARCHITECTS,HOUSING,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100550,100950,No Sick Leave Record,101176,0,30,0.5,14,No Annual Leave Record,14.5,3,5
100780,Live,PW,CO,SALARIES,Denise Bauer,No Grade,GENERAL OPERATIVE,ARCHITECTS,PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100930,100209,No Sick Leave Record,101198,0,24,5,35,22.5,19.5,3,8
100656,Live,PW,CO,SALARIES,Derek Price,3,CREATIVE COMMUNITY ENGAGEMENT OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",PLANNING,0,No Sick Leave Record,No Sick Leave Record,0,100752,100936,No Sick Leave Record,101223,0,29,5,37,26.5,No Annual Leave Record,5,6
101087,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Carl Jones,No Grade,LIFEGUARD,CORPORATE AFFAIRS,,No Sick Leave Record,0.33,1,4,100555,100592,No Sick Leave Record,100075,0,30,0,No Annual Leave Record,12,17,No Annual Leave Record,4
101196,Live,PW,CO,SALARIES,Thomas Maxwell,No Grade,SENIOR LIBRARY ASSISTANT,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,0,2,3,No Sick Leave Record,101079,101110,2,101023,0,No Annual Leave Record,0,34.5,11,23,3,17
100064,Live,TP,CO,SALARIES,Bruce Kaufman,5,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,No Sick Leave Record,100748,100603,0,100277,0,30,0,28,15,7,3,11.5
100268,Live,PW,CO,SALARIES,Tony Tucker,3,ADMINISTRATIVE OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",PLANNING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100338,100113,No Sick Leave Record,100267,0,24,0,25,18,19,8,0
101185,Live,PW,CO,SALARIES,Carrie Cooper,3,GANGER,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100528,100226,No Sick Leave Record,100629,0,No Annual Leave Record,2.5,25,No Annual Leave Record,No Annual Leave Record,3,13
100847,Live,TW,CO,SALARIES,Jamie Coleman,3,SCHOOL WARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,No Sick Leave Record,0,0,No Sick Leave Record,100152,100822,No Sick Leave Record,100123,0,31,2,46,18,16.5,No Annual Leave Record,7
101284,Live,PW,CO,SALARIES,David Scott,4,STAFF OFFICER,FORWARD PLANNING INFRASTRUCTURE,HUMAN RESOURCES,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100864,100010,0,100358,0,13,5,22.5,11,10,7,12.5
100333,Live,PW,CO,SALARIES,Kimberly Curtis,No Grade,STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101292,100051,No Sick Leave Record,100714,0,27,0,31.5,25,3,5,No Annual Leave Record
101217,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Patricia Palmer,7,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,No Sick Leave Record,100863,100898,0,100009,0,19,2.5,18,13,29,14,11
100421,Live,PW,CO,SALARIES,Darlene Bradley,3,CLERICAL OFFICER,FINANCE & WATER SERVICES,CORPORATE SERVICES,0,No Sick Leave Record,No Sick Leave Record,0,101310,100553,No Sick Leave Record,100261,0,No Annual Leave Record,3,34.5,7,10,No Annual Leave Record,1
101330,Live,PW,CO,SALARIES,Randy Peters,7,EXECUTIVE PARKS SUPERINTENDENT,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100143,100566,No Sick Leave Record,101053,0,27,0,No Annual Leave Record,18.5,14,No Annual Leave Record,11
100665,Live,PW,CO,SALARIES,Lee Walker,6,INSPECTOR (ANALOGOUS GRADE 5),"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,0,No Sick Leave Record,144.56,0,100089,100790,No Sick Leave Record,101151,No Annual Leave Record,28.5,1,29,23.5,12,12,7
100637,Live,PW,CO,SALARIES,Robert Peck,6,SENIOR EXECUTIVE TECHNICIAN,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100823,101143,No Sick Leave Record,100543,No Annual Leave Record,30,2,29.5,No Annual Leave Record,10.5,3,3
101235,Live,PW,CO,SALARIES,Maurice Ruiz,7,EXECUTIVE ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,0,101288,100014,0,100844,0,30,No Annual Leave Record,32.5,5,14,3,16.5
101162,Live,PW,CO,SALARIES,Tina Garcia,5,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,No Sick Leave Record,100378,100655,0,100201,0,30,0,34,15,No Annual Leave Record,3,12.5
100416,Live,PW,CO,SALARIES,Paula Ross,6,SENIOR EXECUTIVE QUANTITY SURVEYOR,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100642,101263,No Sick Leave Record,101030,0,24,5,36,20.5,10,11,3
100306,Live,PW,CO,SALARIES,Karen Evans,4,EXECUTIVE ENGINEER,HOUSING,WATER SERVICES,No Sick Leave Record,No Sick Leave Record,1,No Sick Leave Record,100618,100543,0,101059,0,30,0,24,No Annual Leave Record,15,3,5
100501,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Ryan Stanton,No Grade,ADMINISTRATIVE OFFICER,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,No Sick Leave Record,0,No Sick Leave Record,44,101046,100244,0,101174,0,14.5,5,30,0,12,3,7
100488,Live,PW,CO,SALARIES,Amanda Ramos,6,UNDERGRADUATE STUDENT TEMPORARY,CORPORATE AFFAIRS,CORPORATE SERVICES,No Sick Leave Record,0,2,No Sick Leave Record,100370,100585,No Sick Leave Record,100248,0,14,5,7.5,16.5,13,3,10
100811,Live,PW,CO,SALARIES,Linda Ponce,3,SENIOR EXECUTIVE ARCHITECT,PLANNING & ECONOMIC DEVELOPMENT,WATER SERVICES,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101235,101153,No Sick Leave Record,100837,0,17.5,5,24,27,2,13,5
100052,Live,PW,CO,SALARIES,Robin Smith,No Grade,PICK UP DRIVER SHIFT,"COMMUNITY, CULTURAL SERVICES & PARKS",CORPORATE SERVICES,0,2.01,0,No Sick Leave Record,100860,100749,0,100848,0,No Annual Leave Record,No Annual Leave Record,25,18.5,4,2,10.5
101303,Live,PW,CO,SALARIES,Richard Martin,3,CLERICAL OFFICER,HOUSING,HOUSING,No Sick Leave Record,No Sick Leave Record,0,41,100730,100122,No Sick Leave Record,101249,0,No Annual Leave Record,No Annual Leave Record,32,10,16.5,16,4
100274,Live,PW,CO,SALARIES,Richard Williams,No Grade,GENERAL OPERATIVE,PLANNING & ECONOMIC DEVELOPMENT,IT,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100869,100562,0,100700,0,30,0,37,17,14,3,No Annual Leave Record
100519,Live,PW,CO,SALARIES,Dennis Gonzalez,6,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",HARBOUR,0,8,No Sick Leave Record,No Sick Leave Record,100996,101136,No Sick Leave Record,100758,0,24,0,24,17,11,0,6.5
100265,Live,PW,CO,SALARIES,Ryan Herrera,3,REFERENCER,PLANNING & ECONOMIC DEVELOPMENT,IT,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101157,100530,No Sick Leave Record,101049,0,24,3.5,30,20,7.5,3,8
101230,Live,PW,CO,SALARIES,Ashley Johnson,4,GREEN MACHINE OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,No Sick Leave Record,0,0,101106,100699,0,100160,0,24,5,22,17.5,27,7,7
101346,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Peter Martinez,No Grade,LIBRARY ASSISTANT,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,0,100647,100963,No Sick Leave Record,101085,0,24,5,28,12,12.5,3,7.5
100071,Live,PW,CO,SALARIES,Cheryl Fernandez,3,ADMINISTRATIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,No Sick Leave Record,0,17,No Sick Leave Record,101352,100318,0,101315,0,30,5,35,19,5,13,No Annual Leave Record
100980,Live,PW,CO,SALARIES,Felicia Aguilar,3,DRIVER,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,0,0,0,No Sick Leave Record,101324,100247,No Sick Leave Record,100524,0,32,5,35,No Annual Leave Record,15,14,4.5
100999,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Timothy Reed,No Grade,ASST ENVIRONMENTAL AWARENESS OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,5,101240,100788,No Sick Leave Record,100376,0,30,3,34,21,6.5,3,6
100425,Live,PW,CO,SALARIES,James Nelson,6,SENIOR LIBRARY ASSISTANT,PLANNING & ECONOMIC DEVELOPMENT,FINANCE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100082,100482,No Sick Leave Record,101147,0,30,0,29,11,2,3,13.5
100209,Live,PW,CO,SALARIES,Deborah Parker,3,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,No Sick Leave Record,0,0,No Sick Leave Record,100265,100180,3,101241,0,24,0,24,15,12.5,0,No Annual Leave Record
100019,Live,PW,CO,SALARIES,Marc Wiggins,3,LIBRARY ASSISTANT,CORPORATE AFFAIRS,ARCHITECTS,0,No Sick Leave Record,7,No Sick Leave Record,100180,100248,No Sick Leave Record,100211,0,30,0,26,23,No Annual Leave Record,5,1.5
100244,Live,PW,CO,SALARIES,Jennifer Perry,6,CRAFTSMAN,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,3,100289,101220,0,100063,0,28,0,No Annual Leave Record,28.5,12,3,7
100214,Live,PW,CO,SALARIES,David Lane,No Grade,SCHOOL WARDEN,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,2.5,100539,100735,No Sick Leave Record,100574,0,29,0,34,27.5,12,No Annual Leave Record,8
100952,Live,PW,CO,SALARIES,Amy Rose,5,ADMINISTRATIVE OFFICER,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,No Sick Leave Record,No Sick Leave Record,0,4,101170,100762,0,101242,0,No Annual Leave Record,0,21.5,21,19,No Annual Leave Record,5.5
101261,Live,PW,CO,SALARIES,Joanna Glass,5,CLERICAL OFFICER,ARCHITECTS,HUMAN RESOURCES,0,No Sick Leave Record,No Sick Leave Record,3,101032,100421,0,100759,0,27,5,22,26,11,3,7
100934,Live,PW,CO,SALARIES,Anne Alexander,4,BUILDING INSPECTOR/ CLERK OF WORKS,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0.03,No Sick Leave Record,10,100002,100694,No Sick Leave Record,100369,0,28.5,No Annual Leave Record,No Annual Leave Record,17.5,19.5,5,14
101055,Live,PW,CO,SALARIES,Jennifer Gay,No Grade,ASSISTANT ARCHITECT,PLANNING & ECONOMIC DEVELOPMENT,FINANCE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100405,100843,No Sick Leave Record,101145,0,No Annual Leave Record,0,35,20,14,No Annual Leave Record,12
100219,Live,PW,CO,SALARIES,Barbara Hill,No Grade,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,0,100074,100707,No Sick Leave Record,100588,0,30,5,33,6.5,14.5,0,No Annual Leave Record
100301,Live,PW,CO,SALARIES,Lauren Kim,No Grade,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,No Sick Leave Record,0,No Sick Leave Record,101069,100920,No Sick Leave Record,100107,0,34,5,15,22,0,13,1
100254,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Kristen Johnson,No Grade,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100991,100331,0,100475,0,24,5,26,10.5,No Annual Leave Record,0,5.5
100033,Live,PW,CO,SALARIES,David Stevenson,5,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,No Sick Leave Record,13,0,100440,100362,No Sick Leave Record,101368,0,24,4,35,14.5,9.5,3,16.5
100165,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Patrick Myers,5,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100565,100954,0,100348,0,24,5,32,No Annual Leave Record,No Annual Leave Record,5,No Annual Leave Record
100698,Live,PW,CO,SALARIES,Donna Rodriguez,3,DRIVER,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,0,No Sick Leave Record,No Sick Leave Record,3,100513,100088,0,101139,0,27,5,29,18,8,0,6
100810,Live,PW,CO,SALARIES,Andrew Brown,No Grade,SUPERVISOR ROADS,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,20.57,No Sick Leave Record,No Sick Leave Record,100403,100769,2,101275,No Annual Leave Record,32,5,32.5,19,10,8,2.5
100157,Live,PW,CO,SALARIES,Stephen Sandoval,6,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,CHERRYWOOD,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,101243,100211,0,100722,0,32,1,No Annual Leave Record,24,21,3,6.5
100970,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Patrick Harris,8,HOUSING INVESTIGATIONS OFF GENERAL,PLANNING & ECONOMIC DEVELOPMENT,FINANCE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100416,101228,0,100171,0,30,0,30,No Annual Leave Record,No Annual Leave Record,3,7.5
101136,Live,PW,CO,SALARIES,Kevin Haynes,No Grade,ASSISTANT STAFF OFFICER,HOUSING,CORPORATE SERVICES,0,0,0,No Sick Leave Record,100470,100571,0,101114,No Annual Leave Record,30,5,25,19,No Annual Leave Record,0,4
101002,Live,PW,CO,SALARIES,Brittany Russell,5,DRIVER ROAD SWEEPER,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100181,101312,No Sick Leave Record,100118,0,No Annual Leave Record,5,26.5,1,-0.5,3,24
100392,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Ryan Martin,4,WATER SERVICES INSPECTOR,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,No Sick Leave Record,0,0,101009,101209,0,101142,0,30,5,27,3,18,3,2.5
100341,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Michael Lewis,No Grade,STAFF OFFICER,CORPORATE AFFAIRS,FINANCE,0,No Sick Leave Record,0,No Sick Leave Record,100276,100973,No Sick Leave Record,100520,0,30,5,35,No Annual Leave Record,9,6,No Annual Leave Record
100452,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Johnny Ruiz,7,ANALYST PROGRAMMER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100035,101313,No Sick Leave Record,100255,0,No Annual Leave Record,0,29,6,No Annual Leave Record,No Annual Leave Record,10
101321,Live,TP,CO,SALARIES,Sarah Johnson,5,STAFF OFFICER,FORWARD PLANNING INFRASTRUCTURE,IT,0,No Sick Leave Record,No Sick Leave Record,0,100535,100516,No Sick Leave Record,100536,0,12.5,No Annual Leave Record,24,21.5,1,3,16.5
100966,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jennifer Davis,6,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",ENTERPRISE,0,0,10,0,100362,100957,0,100288,0,24,0,No Annual Leave Record,No Annual Leave Record,16.5,7,9.5
101029,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Laura Allen,4,DRIVER SHIFT HARBOUR,INFRASTRUCTURE & CLIMATE CHANGE,FINANCE,0,2.19,No Sick Leave Record,No Sick Leave Record,100354,101177,No Sick Leave Record,100809,0,30,0,No Annual Leave Record,10,30,3,8.5
100020,Live,PW,CO,SALARIES,Jennifer Burns,No Grade,ASSISTANT FOREMAN OF WORKS,HOUSING,CORPORATE SERVICES,0,No Sick Leave Record,14,0,101064,101087,0,100237,0,14.5,0,34,No Annual Leave Record,8,3,3.5
101129,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Justin Johnson,5,WATER SERVICES INSPECTOR,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,18.5,0,0,101238,100347,2,100295,0,27,5,35,19,13.5,6.5,2
100083,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Michael Hester MD,6,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,IT,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101149,100765,No Sick Leave Record,100955,0,30,5,31.5,3,11,No Annual Leave Record,12
101111,Live,PW,CO,SALARIES,Amanda Woodward,No Grade,LIBRARY ASSISTANT,INFRASTRUCTURE & CLIMATE CHANGE,HUMAN RESOURCES,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100050,100389,0,100781,0,No Annual Leave Record,5,26,No Annual Leave Record,7.5,0,No Annual Leave Record
100140,Live,PW,CO,SALARIES,Robert Brady,4,EXECUTIVE ARCHITECT,"COMMUNITY, CULTURAL SERVICES & PARKS",HUMAN RESOURCES,No Sick Leave Record,No Sick Leave Record,3,0,101110,100928,No Sick Leave Record,100249,0,27,5,28,10,9,3,10
